Date,Open,High,Low,Close,Adj Close,Volume
2021-11-30,68.779999,70.160004,66.879997,69.820000,69.820000,8624200
2021-12-01,71.010002,72.379997,64.199997,64.269997,64.269997,9692100
2021-12-02,66.000000,69.300003,64.250000,68.879997,68.879997,7070300
2021-12-03,68.000000,69.110001,66.169998,66.760002,66.760002,4668700
2021-12-06,68.699997,74.430000,67.720001,72.250000,72.250000,8184800
2021-12-07,72.959999,74.449997,71.059998,71.639999,71.639999,5259900
2021-12-08,73.209999,77.500000,72.650002,75.370003,75.370003,6857200
2021-12-09,73.239998,75.419998,73.239998,74.699997,74.699997,2760300
2021-12-10,75.699997,75.989998,73.480003,75.500000,75.500000,3503900
2021-12-13,73.889999,74.099998,70.889999,72.150002,72.150002,4254300
2021-12-14,71.120003,73.300003,71.080002,71.599998,71.599998,4257100
2021-12-15,71.230003,71.410004,68.169998,70.629997,70.629997,4385300
2021-12-16,71.199997,72.349998,68.370003,68.800003,68.800003,5156400
2021-12-17,68.610001,73.239998,68.599998,72.410004,72.410004,7720900
2021-12-20,70.150002,74.559998,69.660004,72.660004,72.660004,6111800
2021-12-21,74.300003,77.209999,74.160004,76.570000,76.570000,6787400
2021-12-22,76.349998,79.959999,75.570000,79.459999,79.459999,4272700
2021-12-23,80.480003,80.570000,77.830002,79.529999,79.529999,3859500
2021-12-27,76.779999,78.779999,75.550003,78.459999,78.459999,2967100
2021-12-28,77.540001,80.050003,77.529999,78.250000,78.250000,2363500
2021-12-29,77.440002,78.779999,76.360001,78.220001,78.220001,3038600
2021-12-30,78.080002,79.940002,76.709999,77.349998,77.349998,5293900
2021-12-31,76.639999,78.190002,76.230003,76.900002,76.900002,3085400
2022-01-03,77.570000,81.750000,77.570000,80.830002,80.830002,4677100
2022-01-04,82.230003,83.529999,81.730003,82.379997,82.379997,4519400
2022-01-05,84.000000,84.000000,79.910004,80.610001,80.610001,3362000
2022-01-06,81.339996,82.870003,77.470001,77.919998,77.919998,5830400
2022-01-07,78.790001,82.500000,78.400002,81.019997,81.019997,5106900
2022-01-10,81.669998,81.760002,77.190002,79.919998,79.919998,4035500
2022-01-11,79.449997,82.330002,78.570000,81.730003,81.730003,2990700
2022-01-12,82.040001,82.669998,80.650002,82.260002,82.260002,2599900
2022-01-13,82.470001,85.320000,82.300003,83.489998,83.489998,4265000
2022-01-14,83.320000,84.239998,81.820000,84.150002,84.150002,2589200
2022-01-18,83.000000,84.330002,81.919998,82.330002,82.330002,2528200
